File,Classification,Coverage%,Covered Lines,Total Lines
app/__init__.py,UNUSED,0.0,0,1
app/api/__init__.py,UNUSED,0.0,0,0
app/api/main.py,REACHABLE,0.0,0,144
app/config/__init__.py,UNUSED,0.0,0,0
app/config/settings.py,UNUSED,0.0,0,20
app/core/__init__.py,UNUSED,0.0,0,3
app/core/errors.py,UNUSED,0.0,0,34
app/core/logging.py,REACHABLE,0.0,0,37
app/rag/__init__.py,UNUSED,0.0,0,2
app/rag/parse/__init__.py,UNUSED,0.0,0,3
app/rag/parse/doctype.py,UNUSED,0.0,0,63
app/rag/parse/parse_meta.py,UNUSED,0.0,0,149
app/rag/parse/parse_tables.py,UNUSED,0.0,0,127
app/rag/pipeline.py,UNUSED,0.0,0,692
app/rag/preprocess/__init__.py,UNUSED,0.0,0,2
app/rag/preprocess/clean_text.py,UNUSED,0.0,0,126
app/rag/query_parser.py,UNUSED,0.0,0,98
app/rag/query_router.py,UNUSED,0.0,0,119
app/rag/render/__init__.py,UNUSED,0.0,0,2
app/rag/render/list_postprocess.py,UNUSED,0.0,0,72
app/rag/render/summary_templates.py,UNUSED,0.0,0,155
app/rag/retrievers/__init__.py,UNUSED,0.0,0,2
app/rag/retrievers/hybrid.py,UNUSED,0.0,0,34
app/rag/summary_templates.py,UNUSED,0.0,0,190
app/rag/utils/__init__.py,UNUSED,0.0,0,0
app/rag/utils/context_hydrator.py,UNUSED,0.0,0,76
app/rag/utils/json_utils.py,UNUSED,0.0,0,95
modules/cache_module.py,UNUSED,0.0,0,160
modules/document_module.py,UNUSED,0.0,0,219
modules/intent_module.py,UNUSED,0.0,0,109
modules/llm_module.py,UNUSED,0.0,0,133
modules/metadata_db.py,REACHABLE,0.0,0,300
modules/metadata_extractor.py,REACHABLE,0.0,0,201
modules/ocr_processor.py,REACHABLE,0.0,0,154
modules/optimized_llm.py,UNUSED,0.0,0,18
modules/reranker.py,UNUSED,0.0,0,104
modules/response_formatter.py,REACHABLE,0.0,0,452
modules/search_module.py,REACHABLE,0.0,0,235
modules/search_module_hybrid.py,REACHABLE,0.0,0,98
modules/statistics_module.py,UNUSED,0.0,0,264
