File,Classification,Coverage%,Covered Lines,Total Lines
app/__init__.py,USED,100.0,1,1
app/api/__init__.py,UNUSED,0.0,0,0
app/api/main.py,USED,31.9,46,144
app/config/__init__.py,UNUSED,0.0,0,0
app/config/settings.py,USED,90.0,18,20
app/core/__init__.py,USED,100.0,3,3
app/core/errors.py,USED,97.1,33,34
app/core/logging.py,USED,91.9,34,37
app/rag/__init__.py,USED,100.0,2,2
app/rag/parse/__init__.py,USED,100.0,3,3
app/rag/parse/doctype.py,USED,22.2,14,63
app/rag/parse/parse_meta.py,USED,9.4,14,149
app/rag/parse/parse_tables.py,USED,12.6,16,127
app/rag/pipeline.py,USED,29.3,203,692
app/rag/preprocess/__init__.py,USED,100.0,2,2
app/rag/preprocess/clean_text.py,USED,31.7,40,126
app/rag/query_parser.py,USED,89.8,88,98
app/rag/query_router.py,USED,58.8,70,119
app/rag/render/__init__.py,USED,100.0,2,2
app/rag/render/list_postprocess.py,USED,23.6,17,72
app/rag/render/summary_templates.py,USED,11.6,18,155
app/rag/retrievers/__init__.py,USED,100.0,2,2
app/rag/retrievers/hybrid.py,USED,76.5,26,34
app/rag/summary_templates.py,UNUSED,0.0,0,190
app/rag/utils/__init__.py,UNUSED,0.0,0,0
app/rag/utils/context_hydrator.py,USED,44.7,34,76
app/rag/utils/json_utils.py,USED,10.5,10,95
check_db_content.py,UNUSED,0.0,0,0
config.py,REACHABLE,0.0,0,0
diagnose_qa_flow.py,UNUSED,0.0,0,0
everything_like_search.py,UNUSED,0.0,0,0
fix_metadata_db.py,UNUSED,0.0,0,0
health_check.py,UNUSED,0.0,0,0
modules/cache_module.py,UNUSED,0.0,0,0
modules/document_module.py,UNUSED,0.0,0,0
modules/intent_module.py,UNUSED,0.0,0,0
modules/llm_module.py,UNUSED,0.0,0,0
modules/metadata_db.py,REACHABLE,0.0,0,0
modules/metadata_extractor.py,REACHABLE,0.0,0,0
modules/ocr_processor.py,UNUSED,0.0,0,0
modules/optimized_llm.py,UNUSED,0.0,0,0
modules/reranker.py,UNUSED,0.0,0,0
modules/response_formatter.py,UNUSED,0.0,0,0
modules/search_module.py,REACHABLE,0.0,0,0
modules/search_module_hybrid.py,REACHABLE,0.0,0,0
modules/statistics_module.py,UNUSED,0.0,0,0
rebuild_metadata.py,UNUSED,0.0,0,0
rebuild_rag_indexes.py,UNUSED,0.0,0,0
test_e2e_validation.py,UNUSED,0.0,0,0
test_final_validation.py,UNUSED,0.0,0,0
verify_golden_queries.py,UNUSED,0.0,0,0
web_interface.py,REACHABLE,0.0,0,0
